Analysis Type	NCBI BioProject ID (Strain 1)	Strain 1	GI (Strain 1)	Locus Tag (Strain 1)	NCBI RefSeq Accession (Strain 1)	Description (Strain 1)	NCBI BioProject ID (Strain 2)	Strain 2	GI (Strain 2)	Locus Tag (Strain 2)	NCBI RefSeq Accession (Strain 2)	Description (Strain 2)	Inparalogs	Strain 1 Inparalogs (Locus Tag/Name)	Strain 2 Inparalogs (Locus Tag/Name)	Ortholuge Class
rbb	57945	Pseudomonas aeruginosa PAO1	15599796	PA4600	NP_253290.1	transcriptional regulator NfxB	57977	Pseudomonas aeruginosa UCBPP-PA14	116052742	PA14_60860	WP_009316251.1	transcriptional regulator NfxB				
rbb	57945	Pseudomonas aeruginosa PAO1	15599797	PA4601	NP_253291.1	motility regulator	57977	Pseudomonas aeruginosa UCBPP-PA14	116052743	PA14_60870	WP_011666766.1	motility regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15599798	PA4602	NP_253292.1	serine hydroxymethyltransferase	57977	Pseudomonas aeruginosa UCBPP-PA14	116052744	PA14_60890	WP_003141578.1	serine hydroxymethyltransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15599799	PA4603	NP_253293.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052745	PA14_60900	WP_016254056.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599800	PA4604	NP_253294.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052746	PA14_60920	WP_003141582.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599801	PA4605	NP_253295.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052747	PA14_60930	WP_003094856.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599802	PA4606	NP_253296.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052748	PA14_60950	WP_003141584.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599803	PA4607	NP_253297.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052749	PA14_60960	WP_003094862.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599804	PA4608	NP_253298.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052750	PA14_60970	WP_003094864.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599805	PA4609	NP_253299.1	DNA repair protein RadA	57977	Pseudomonas aeruginosa UCBPP-PA14	116052751	PA14_60990	WP_003094867.1	DNA repair protein RadA				
rbb	57945	Pseudomonas aeruginosa PAO1	15599806	PA4610	NP_253300.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052752	PA14_61000	WP_003141586.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599807	PA4611	NP_253301.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052753	PA14_61010	WP_003094873.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599808	PA4612	NP_253302.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052754	PA14_61020	WP_015503667.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599809	PA4613	NP_253303.1	catalase	57977	Pseudomonas aeruginosa UCBPP-PA14	116052755	PA14_61040	WP_003094881.1	catalase				
rbb	57945	Pseudomonas aeruginosa PAO1	15599810	PA4614	NP_253304.1	large-conductance mechanosensitive channel	57977	Pseudomonas aeruginosa UCBPP-PA14	116052756	PA14_61050	WP_003094890.1	large-conductance mechanosensitive channel				
rbb	57945	Pseudomonas aeruginosa PAO1	15599811	PA4615	NP_253305.1	oxidoreductase	57977	Pseudomonas aeruginosa UCBPP-PA14	116052757	PA14_61060	WP_003110878.1	putative oxidoreductase				
rbb	57945	Pseudomonas aeruginosa PAO1	15599812	PA4616	NP_253306.1	c4-dicarboxylate-binding protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052758	PA14_61080	WP_003094894.1	putative c4-dicarboxylate-binding protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599813	PA4617	NP_253307.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052759	PA14_61090	WP_003121341.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599814	PA4618	NP_253308.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052761	PA14_61120	WP_003094899.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599815	PA4619	NP_253309.1	c-type cytochrome	57977	Pseudomonas aeruginosa UCBPP-PA14	116052762	PA14_61130	WP_003141588.1	putative c-type cytochrome				
rbb	57945	Pseudomonas aeruginosa PAO1	15599816	PA4620	NP_253310.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052763	PA14_61140	WP_003094903.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599817	PA4621	NP_253311.1	oxidoreductase	57977	Pseudomonas aeruginosa UCBPP-PA14	116052764	PA14_61150	WP_003141589.1	putative oxidoreductase				
rbb	57945	Pseudomonas aeruginosa PAO1	15599818	PA4622	NP_253312.1	major facilitator superfamily (MFS) transporter	57977	Pseudomonas aeruginosa UCBPP-PA14	116052765	PA14_61170	WP_003094912.1	putative transmembrane protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599819	PA4623	NP_253313.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052766	PA14_61180	WP_003106768.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599820	PA4624	NP_253314.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052767	PA14_61190	WP_003141590.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599821	PA4625	NP_253315.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052768	PA14_61200	WP_011666768.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599822	PA4626	NP_253316.1	glycerate dehydrogenase	57977	Pseudomonas aeruginosa UCBPP-PA14	116052769	PA14_61210	WP_003094919.1	glycerate dehydrogenase				
rbb	57945	Pseudomonas aeruginosa PAO1	15599823	PA4627	NP_253317.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052770	PA14_61220	WP_003141607.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599824	PA4628	NP_253318.1	lysine-specific permease	57977	Pseudomonas aeruginosa UCBPP-PA14	116052771	PA14_61250	WP_003114709.1	APC family lysine-specific permease				
rbb	57945	Pseudomonas aeruginosa PAO1	15599825	PA4629	NP_253319.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052772	PA14_61260	WP_003094926.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599826	PA4630	NP_253320.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052773	PA14_61270	WP_003094928.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599827	PA4631	NP_253321.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052774	PA14_61280	WP_003094930.1	putative epimerase				
rbb	57945	Pseudomonas aeruginosa PAO1	15599828	PA4632	NP_253322.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052775	PA14_61290	WP_003094932.1	putative lipoprotein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599829	PA4633	NP_253323.1	chemotaxis transducer	57977	Pseudomonas aeruginosa UCBPP-PA14	116052776	PA14_61300	WP_003141610.1	putative chemotaxis transducer				
rbb	57945	Pseudomonas aeruginosa PAO1	15599830	PA4634	NP_253324.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052777	PA14_61320	WP_003141612.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599831	PA4635	NP_253325.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052778	PA14_61330	WP_003094941.1	magnesium transporter, MgtC family				
rbb	57945	Pseudomonas aeruginosa PAO1	15599832	PA4636	NP_253326.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052781	PA14_61360	WP_003099351.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599833	PA4637	NP_253327.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052782	PA14_61370	WP_003094948.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599835	PA4639	NP_253329.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052784	PA14_61390	WP_003094953.1	putative lipoprotein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599836	PA4640	NP_253330.1	malate:quinone oxidoreductase	57977	Pseudomonas aeruginosa UCBPP-PA14	116052785	PA14_61400	WP_003141615.1	malate:quinone oxidoreductase				
rbb	57945	Pseudomonas aeruginosa PAO1	15599837	PA4642	NP_253331.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052787	PA14_61430	WP_003094960.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599838	PA4643	NP_253332.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052788	PA14_61440	WP_003094962.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599839	PA4644	NP_253333.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052789	PA14_61450	WP_003094965.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599840	PA4645	NP_253334.1	hypoxanthine-guanine phosphoribosyltransferase	57977	Pseudomonas aeruginosa UCBPP-PA14	116052790	PA14_61460	WP_003094967.1	hypoxanthine-guanine phosphoribosyltransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15599841	PA4646	NP_253335.1	uracil phosphoribosyltransferase	57977	Pseudomonas aeruginosa UCBPP-PA14	116052791	PA14_61470	WP_003094968.1	uracil phosphoribosyltransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15599842	PA4647	NP_253336.1	uracil permease	57977	Pseudomonas aeruginosa UCBPP-PA14	116052792	PA14_61480	WP_003094970.1	uracil permease				
rbb	57945	Pseudomonas aeruginosa PAO1	15599843	PA4648	NP_253337.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052793	PA14_61500	WP_003099340.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599844	PA4649	NP_253338.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052794	PA14_61510	WP_003094974.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599845	PA4650	NP_253339.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052795	PA14_61520	WP_003141616.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599846	PA4651	NP_253340.1	pili assembly chaperone	57977	Pseudomonas aeruginosa UCBPP-PA14	116052796	PA14_61530	WP_003141617.1	putative pili assembly chaperone				
rbb	57945	Pseudomonas aeruginosa PAO1	15599847	PA4652	NP_253341.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052797	PA14_61540	WP_003141618.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599848	PA4653	NP_253342.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052798	PA14_61550	WP_003099330.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599849	PA4654	NP_253343.1	major facilitator superfamily (MFS) transporter	57977	Pseudomonas aeruginosa UCBPP-PA14	116052799	PA14_61560	WP_003099328.1	putative MFS transporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15599850	PA4655	NP_253344.1	ferrochelatase	57977	Pseudomonas aeruginosa UCBPP-PA14	116052800	PA14_61580	WP_003141619.1	ferrochelatase				
rbb	57945	Pseudomonas aeruginosa PAO1	15599851	PA4656	NP_253345.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052801	PA14_61590	WP_003141621.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599852	PA4657	NP_253346.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052802	PA14_61600	WP_003094987.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599853	PA4658	NP_253347.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052803	PA14_61610	WP_003141622.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599854	PA4659	NP_253348.1	transcriptional regulator	57977	Pseudomonas aeruginosa UCBPP-PA14	116052804	PA14_61620	WP_003141623.1	MerR family transcriptional regulator				
rbb	57945	Pseudomonas aeruginosa PAO1	15599855	PA4660	NP_253349.1	deoxyribodipyrimidine photolyase	57977	Pseudomonas aeruginosa UCBPP-PA14	116052805	PA14_61640	WP_003141624.1	deoxyribodipyrimidine photolyase				
rbb	57945	Pseudomonas aeruginosa PAO1	15599856	PA4661	NP_253350.1	lipid A 3-O-deacylase	57977	Pseudomonas aeruginosa UCBPP-PA14	116052806	PA14_61650	WP_003099307.1	Lipid A 3-O-deacylase				
rbb	57945	Pseudomonas aeruginosa PAO1	15599857	PA4662	NP_253351.1	glutamate racemase	57977	Pseudomonas aeruginosa UCBPP-PA14	116052807	PA14_61660	WP_003141625.1	glutamate racemase				
rbb	57945	Pseudomonas aeruginosa PAO1	15599858	PA4663	NP_253352.1	molybdopterin biosynthesis protein MoeB	57977	Pseudomonas aeruginosa UCBPP-PA14	116052808	PA14_61670	WP_003141626.1	molybdopterin biosynthesis protein MoeB				
rbb	57945	Pseudomonas aeruginosa PAO1	15599859	PA4664	NP_253353.1	methyl transferase	57977	Pseudomonas aeruginosa UCBPP-PA14	116052809	PA14_61680	WP_003114694.1	putative methyl transferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15599860	PA4665	NP_253354.1	peptide chain release factor 1	57977	Pseudomonas aeruginosa UCBPP-PA14	116052810	PA14_61700	WP_003099290.1	peptide chain release factor 1				
rbb	57945	Pseudomonas aeruginosa PAO1	15599861	PA4666	NP_253355.1	glutamyl-tRNA reductase	57977	Pseudomonas aeruginosa UCBPP-PA14	116052811	PA14_61710	WP_003095001.1	glutamyl-tRNA reductase				
rbb	57945	Pseudomonas aeruginosa PAO1	15599862	PA4667	NP_253356.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052812	PA14_61720	WP_004355240.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599863	PA4668	NP_253357.1	outer membrane lipoprotein LolB	57977	Pseudomonas aeruginosa UCBPP-PA14	116052813	PA14_61740	WP_003095005.1	outer membrane lipoprotein LolB				
rbb	57945	Pseudomonas aeruginosa PAO1	15599864	PA4669	NP_253358.1	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	57977	Pseudomonas aeruginosa UCBPP-PA14	116052814	PA14_61750	WP_003095007.1	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase				
rbb	57945	Pseudomonas aeruginosa PAO1	15599865	PA4670	NP_253359.1	ribose-phosphate pyrophosphokinase	57977	Pseudomonas aeruginosa UCBPP-PA14	116052815	PA14_61770	WP_003099281.1	ribose-phosphate pyrophosphokinase				
rbb	57945	Pseudomonas aeruginosa PAO1	15599866	PA4671	NP_253360.1	50S ribosomal protein L25/general stress protein Ctc	57977	Pseudomonas aeruginosa UCBPP-PA14	116052816	PA14_61780	WP_003095013.1	50S ribosomal protein L25/general stress protein Ctc				
rbb	57945	Pseudomonas aeruginosa PAO1	15599867	PA4672	NP_253361.1	peptidyl-tRNA hydrolase	57977	Pseudomonas aeruginosa UCBPP-PA14	116052817	PA14_61790	WP_003099278.1	peptidyl-tRNA hydrolase				
rbb	57945	Pseudomonas aeruginosa PAO1	15599868	PA4673	NP_253362.1	GTP-dependent nucleic acid-binding protein EngD	57977	Pseudomonas aeruginosa UCBPP-PA14	116052818	PA14_61820	WP_003099270.1	GTP-dependent nucleic acid-binding protein EngD				
rbb	57945	Pseudomonas aeruginosa PAO1	15599869	PA4674	NP_253363.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052819	PA14_61840	WP_003133769.1	putative virulence-associated protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599870	PA4675	NP_253364.1	TonB-dependent receptor	57977	Pseudomonas aeruginosa UCBPP-PA14	116052820	PA14_61850	WP_003141628.1	putative TonB-dependent receptor				
rbb	57945	Pseudomonas aeruginosa PAO1	15599871	PA4676	NP_253365.1	carbonic anhydrase	57977	Pseudomonas aeruginosa UCBPP-PA14	116052821	PA14_61860	WP_003095021.1	putative carbonic anhydrase				
rbb	57945	Pseudomonas aeruginosa PAO1	15599872	PA4677	NP_253366.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052822	PA14_61870	WP_003141631.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599873	PA4678	NP_253367.1	peptide n-acetyltransferase RimI	57977	Pseudomonas aeruginosa UCBPP-PA14	116052823	PA14_61880	WP_003095025.1	peptide n-acetyltransferase RimI				
rbb	57945	Pseudomonas aeruginosa PAO1	15599874	PA4679	NP_253368.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052824	PA14_61890	WP_009878191.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599875	PA4680	NP_253369.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052825	PA14_61910	WP_003141635.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599876	PA4681	NP_253370.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052826	PA14_61920	WP_003141637.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599877	PA4682	NP_253371.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052827	PA14_61940	WP_003095033.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599878	PA4683	NP_253372.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052828	PA14_61950	WP_003095035.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599879	PA4684	NP_253373.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052829	PA14_61960	WP_031632770.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599880	PA4685	NP_253374.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052830	PA14_61980	WP_003095041.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599881	PA4686	NP_253375.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052831	PA14_61990	WP_003141640.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599882	PA4687	NP_253376.1	ferric iron-binding periplasmic protein HitA	57977	Pseudomonas aeruginosa UCBPP-PA14	116052832	PA14_62000	WP_031627775.1	ferric iron-binding periplasmic protein HitA				
rbb	57945	Pseudomonas aeruginosa PAO1	15599883	PA4688	NP_253377.1	iron (III)-transporter permease HitB	57977	Pseudomonas aeruginosa UCBPP-PA14	116052833	PA14_62010	WP_003141642.1	putative iron ABC transporter, permease protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599884	PA4689	NP_253378.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052834	PA14_62020	WP_003107435.1	paraquat-inducible protein B-like protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599885	PA4691	NP_253379.1	sulfite oxidase subunit YedZ	57977	Pseudomonas aeruginosa UCBPP-PA14	116052837	PA14_62100	WP_003141653.1	putative sulfite oxidase subunit YedZ				
rbb	57945	Pseudomonas aeruginosa PAO1	15599886	PA4692	NP_253380.1	sulfite oxidase subunit YedY	57977	Pseudomonas aeruginosa UCBPP-PA14	116052838	PA14_62110	WP_003141655.1	putative sulfite oxidase subunit YedY				
rbb	57945	Pseudomonas aeruginosa PAO1	15599887	PA4693	NP_253381.1	phosphatidylserine synthase	57977	Pseudomonas aeruginosa UCBPP-PA14	116052839	PA14_62120	WP_003095061.1	phosphatidylserine synthase				
rbb	57945	Pseudomonas aeruginosa PAO1	15599888	PA4694	NP_253382.1	ketol-acid reductoisomerase	57977	Pseudomonas aeruginosa UCBPP-PA14	116052840	PA14_62130	WP_003095066.1	ketol-acid reductoisomerase				
rbb	57945	Pseudomonas aeruginosa PAO1	15599889	PA4695	NP_253383.1	acetolactate synthase 3 regulatory subunit	57977	Pseudomonas aeruginosa UCBPP-PA14	116052841	PA14_62150	WP_003095069.1	acetolactate synthase 3 regulatory subunit				
rbb	57945	Pseudomonas aeruginosa PAO1	15599890	PA4696	NP_253384.1	acetolactate synthase 3 catalytic subunit	57977	Pseudomonas aeruginosa UCBPP-PA14	116052842	PA14_62160	WP_003095071.1	acetolactate synthase 3 catalytic subunit				
rbb	57945	Pseudomonas aeruginosa PAO1	15599891	PA4697	NP_253385.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052843	PA14_62170	WP_003095076.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599892	PA4698	NP_253386.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052844	PA14_62180	WP_003111351.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599893	PA4699	NP_253387.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052845	PA14_62190	WP_003095080.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599894	PA4700	NP_253388.1	penicillin-binding protein 1B	57977	Pseudomonas aeruginosa UCBPP-PA14	116052846	PA14_62200	WP_031627593.1	penicillin-binding protein 1B				
rbb	57945	Pseudomonas aeruginosa PAO1	15599895	PA4701	NP_253389.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052847	PA14_62230	WP_003141659.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599896	PA4702	NP_253390.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052848	PA14_62240	WP_003095090.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599897	PA4703	NP_253391.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052849	PA14_62250	WP_003095094.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599898	PA4704	NP_253392.1	cAMP-binding protein A	57977	Pseudomonas aeruginosa UCBPP-PA14	116052850	PA14_62260	WP_003141662.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599899	PA4705	NP_253393.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052851	PA14_62270	WP_003141664.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599900	PA4706	NP_253394.1	hemin importer ATP-binding subunit	57977	Pseudomonas aeruginosa UCBPP-PA14	116052852	PA14_62280	WP_003095098.1	hemin importer ATP-binding subunit				
rbb	57945	Pseudomonas aeruginosa PAO1	15599901	PA4707	NP_253395.1	ABC transporter permease	57977	Pseudomonas aeruginosa UCBPP-PA14	116052853	PA14_62290	WP_003111168.1	putative permease of ABC transporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15599902	PA4708	NP_253396.1	Heme-transporter, PhuT	57977	Pseudomonas aeruginosa UCBPP-PA14	116052854	PA14_62300	WP_003141666.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599903	PA4709	NP_253397.1	hemin degrading factor	57977	Pseudomonas aeruginosa UCBPP-PA14	116052855	PA14_62330	WP_004365355.1	putative hemin degrading factor				
rbb	57945	Pseudomonas aeruginosa PAO1	15599904	PA4710	NP_253398.1	heme/hemoglobin uptake outer membrane receptor PhuR precursor	57977	Pseudomonas aeruginosa UCBPP-PA14	116052856	PA14_62350	WP_003095102.1	putative haem/haemoglobin uptake outer membrane receptor PhuR precursor				
rbb	57945	Pseudomonas aeruginosa PAO1	15599905	PA4711	NP_253399.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052857	PA14_62360	WP_003095103.1	Rieske family iron-sulfur cluster-binding protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599906	PA4712	NP_253400.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052858	PA14_62370	WP_004365357.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599907	PA4713	NP_253401.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052859	PA14_62380	WP_004365359.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599908	PA4714	NP_253402.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052860	PA14_62390	WP_003095106.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599909	PA4715	NP_253403.1	aminotransferase	57977	Pseudomonas aeruginosa UCBPP-PA14	116052861	PA14_62400	WP_004365361.1	aminotransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15599910	PA4716	NP_253404.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052862	PA14_62410	WP_004365363.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599911	PA4717	NP_253405.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052863	PA14_62420	WP_003095112.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599912	PA4718	NP_253406.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052864	PA14_62430	WP_003111176.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599913	PA4719	NP_253407.1	transporter	57977	Pseudomonas aeruginosa UCBPP-PA14	116052865	PA14_62440	WP_003095114.1	putative transporter				
rbb	57945	Pseudomonas aeruginosa PAO1	15599914	PA4720	NP_253408.1	tRNA (uracil-5-)-methyltransferase	57977	Pseudomonas aeruginosa UCBPP-PA14	116052866	PA14_62450	WP_004365367.1	tRNA (uracil-5-)-methyltransferase				
rbb	57945	Pseudomonas aeruginosa PAO1	15599915	PA4721	NP_253409.1	sugar fermentation stimulation protein A	57977	Pseudomonas aeruginosa UCBPP-PA14	116052867	PA14_62470	WP_004365369.1	sugar fermentation stimulation protein A				
rbb	57945	Pseudomonas aeruginosa PAO1	15599916	PA4722	NP_253410.1	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052868	PA14_62480	WP_004365371.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599917	PA4723	NP_253411.1	suppressor protein DksA	57977	Pseudomonas aeruginosa UCBPP-PA14	116052869	PA14_62490	WP_003095122.1	suppressor protein DksA				
rbb	57945	Pseudomonas aeruginosa PAO1	15599918	PA4724	NP_253412.1	glutamyl-Q tRNA(Asp) synthetase	57977	Pseudomonas aeruginosa UCBPP-PA14	116052870	PA14_62510	WP_003146131.1	glutamyl-Q tRNA(Asp) synthetase				
rbb	57945	Pseudomonas aeruginosa PAO1	308198349	PA4724.1	YP_003933613	hypothetical protein	57977	Pseudomonas aeruginosa UCBPP-PA14	116052871	PA14_62520	WP_003095129.1	hypothetical protein				
rbb	57945	Pseudomonas aeruginosa PAO1	15599919	PA4725	NP_253413.1	two-component sensor CbrA	57977	Pseudomonas aeruginosa UCBPP-PA14	116052872	PA14_62530	WP_003095132.1	two-component sensor CbrA				
